0,1,2,3,4,5,6,7,8
法規副理,暄達醫學科技股份有限公司,https://www.104.com.tw/company/1a2x6bi0hy,5年以上,具備至少5年醫療器材產品國際上市英文文件撰寫及查驗登記申請，具醫療器材廠實務或驗證單位審查經驗。.,具個性開朗丶工作態度積極團隊合作精神丶組織能力良好溝通協調能力強。,,,,,,,,,,,,,,
AI工程師(資料分析),南亞電路板股份有限公司(南電),https://www.104.com.tw/company/7e7mdgg,2年以上, 以上學歷需為大學(含)以上日間部畢 , 具 PCB 相關製程經驗者尤佳, 具外語能力證照者如TOEIC、TOEFL、全民英檢或日語檢定級數者，請於面試當日一併提供語文證明文件正本,良好團隊合作與溝通協調能力。,面試時應屆畢業生請提供相關專題或論文簡介(曾參與產學合作或競賽亦可提供)，另請附上成績單。,有工作經驗者請簡述前份工作內容或提供相關作品簡介。,具AI專題或一年以上AI相關工作經驗者尤佳。,具相關行業經歷者請面試當日一併提供工作經驗證明。,,,,,,,,
《桃園市》小米(MI)專賣店-銷售專員(桃園遠百)(新展店),德誼數位科技股份有限公司,https://www.104.com.tw/company/ck7gt1k,不拘,細心貼心，喜歡服務人群，與顧客互動。,具團隊合作精神。,抗壓力佳,,,,,,,,,,,,,
元智大學 資訊工程學系 誠聘專任教師 2名,元智大學,https://www.104.com.tw/company/fznlds,不拘,個人履歷及自傳（含大學以上學經歷、專長）,博士學位畢業證書影本。,尚未取得畢業證書者得以臨時學位證明書代替並註明將畢業日期。,持國外學歷者，請繳交經駐外單位驗證過之畢業證書影本。,最高學歷成績單影本。。,歷年研究著作目錄。（請註明代表著作名稱）,表著作。須與個人學歷及學術專長相符，非學位論文者，代表著作須為近5年內公開出版之學術論文或專書。,薦信函（至少2封）。,來研究方向簡述與教學計畫書。(可參閱相關課程網址https://portal.yzu.edu.tw/cosSelect/index.aspx?D=G),應徵資料登錄表。,其它有助審查資料,入複審者需再另行提供「教師資格審查資格履歷表」。,外學歷者另加「國外學歷送審教師資格修業情形一覽表」及「出入境記錄」。,,,
(Sr.) Power Supply Quality Engineer資深/電源品保工程師-TC19406,"Super Micro Computer, Inc._美超微電腦股份有限公司",https://www.104.com.tw/company/5uisvbc,3年以上, At least 3 years QA experience., Good sense in number and statistics., Good Excel skills.,,,,,,,,,,,,,
Senior Frontend software engineer,上尚科技股份有限公司,https://www.104.com.tw/company/aodu23s,3年以上,Proficient understanding of web markup include HTML5 CSS3,Proficient understanding of JavaScript and client-side frameworks include ReactJS NextJS ReduxJS,Good understanding of asynchronous request handling partial page updates and AJAX,Good understanding code versioning tools such as GIT.,Good understanding how to be drawing with code include WebGL or HTML5 <Canvas> library.,Best to have experience of developing a navigation program.,Best to have experience of the unity3D library.,,,,,,,,,
DEVT_Specialist,瑞健股份有限公司,https://www.104.com.tw/company/1a2x6bklu2,不拘, Good communication and coordination skills;, Good documentation ability;, Good command of English proficiency incl. Listening Speaking Reading and Writing (above TOEIC 750);, Detail-oriented responsible and capable of working under pressure., Work location after December: 桃園蘆竹區,,,,,,,,,,,
設備維修工程師．系統整合一部業務四處捷運專案,三商電腦股份有限公司,https://www.104.com.tw/company/ed8qlmg,1年以上,專科以上，電子、電機、資訊相關科系畢業,具一年以上設備維修保養經驗,工作地點位於桃園機場捷運沿線車站,居住於桃園地區者優先錄取,,,,,,,,,,,,
【工業4.0】大數據主管職 (理級),欣興電子股份有限公司,https://www.104.com.tw/company/at8e1vc,5年以上,熟悉分析工具的使用，例如： RSPSSJMP Script Language Python SAS code SQL data warehouse等。,備製造業大數據分析與專案管理經驗尤佳。,,,,,,,,,,,,,,
(Sr.)Production Engineer  資深/產品工程師-TC17323,"Super Micro Computer, Inc._美超微電腦股份有限公司",https://www.104.com.tw/company/5uisvbc,3年以上, Education and/or Experience: BSEE MSEE with 3-5 years of hands-on experience on PCB assembly process, Language Skills: English Mandarin, Good knowledge of computer or electronic components or devices, Good knowledge of computer or electronic components testing and inspection,,,,,,,,,,,,
BESV Marketing Executive/ Marketing Manager,達方電子股份有限公司,https://www.104.com.tw/company/7dyii7s,4年以上,Bachelor's degree in Business Marketing PR Communication,4+ year work experience in marketing ,Fluency in English,Self-motivated to work proactively on tasks,Demonstrated success in scalable online programs and ,Ability to work independently and autonomously. Good in ,Proficiency in Google Analytics and excellent analytic skills to ,,,,,,,,,
【Service Operation】監控維運工程師 - 2000257,宏碁股份有限公司,https://www.104.com.tw/company/9kgoqw8,1年以上,教育程度: 專科畢業，資訊、商學，工學等科系皆可。,相關經驗: 具1年工作經驗，領域不限。,工作技能:,具MOS、CCNA認證者佳。,台語聽說能力。,,,,,,,,,,,
ETC維運工程師(外派至遠通電收  桃園龍潭),裕勤科技股份有限公司,https://www.104.com.tw/company/as4v9yo,1年以上,維護與建設通信系統、機電相關設備或電腦2年以上工作經驗佳。應屆畢業生可。,需配合7x24小時輪值或On Call ( 全年不分平假日輪班 )、農曆年或連續假期輪值,依據指定之工作地點駐點或執行維護作業。需於收費門架上執行維護作業(高空作,,,,,,,,,,,,,
SCM Data Analyst Specialist/ 供應鏈數據分析專員,泰洛斯製造股份有限公司,https://www.104.com.tw/company/1a2x6bjp8d,3年以上, University graduated or above (information management 資管 back ground is preferred)., 3 years working experience for cost management and data analysis., Familiar with Microsoft Office especially Excel function and Macro., Familiar with EPR system (SAP or Tiptop is preferred), Chinese (Fluent ) English (good at reading and writing),,,,,,,,,,,
Material Operation Data Analyst/ 數據分析師,泰洛斯製造股份有限公司,https://www.104.com.tw/company/1a2x6bjp8d,3年以上, Bachelor Degree in Statistics Quantitative Finance Computer Science Data Science or other relevant discipline, At least 3 years' working experience in data quality management and data integration related duties, Advanced Microsoft Excel experience including complex formulae and VBA. Experences in some of the different database / big data technologies & data analysis / BI tools such as Tableau MS SQL Oracle SAP etc., Positive and Teamwork attitude willingness of continuous learning and experiences in processing large variety of data efficiently, Strong communication skills — ability to deliver clear and effective messages to a variety of stakeholders,,,,,,,,,,,
"Sr Software/Data Engineer, Smart MFG & AI",台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),https://www.104.com.tw/company/10ww9gpk,3年以上,8+ years’ experience for developing delivering and supporting MFG application solutions,3+ years of leading develop team in MFG application solutions,Proficient with C# .Net Core Web API (REST/JSON) ASP .Net Containers (Docker),Proficient with SQL and Database design principles.,Experience writing unit test cases and test-driven development,Experience being on an Agile team (Scrum Kanban etc).,Active team participation and demonstrated teamwork and consensus building skills,Strong analytical and problem-solving skills to participate and contribute to problem solving and incident management.,The ability to work in several areas of software development as part of a team or independently,.Ability to independently prioritize work from multiple sources including quick tasks and large-scale project work to maintain high level of commitment,Good communication skills in English or TOEIC 750 above,Flexibility to partner with team members and customers in different time zone (USA India…etc) is needed.,amiliar with C++ PERL Power shell Unix/Linux ,amiliar with CI/CD (TFS/Jenkins),nowledge of Cloud technology (Open Shift/Azure),usiness travel is expected and sometimes to co-operate with partner/customer
大數據分析工程師（Big Data Analysis engineer）,安智聯科技有限公司,https://www.104.com.tw/company/1a2x6bkzzz,3年以上,熟悉數值分析理論與實作,熟悉多變量分析方法與實作,熟悉單變量SPC、多變量SPC技術,熟悉機器學習及深度學習理論，並具備實作技術,熟悉Python及下列一種語言：C、C++、C#,熟悉numpy、pandas、SKLearn或其他數據處理及機器學習套件,熟悉下列任一種深度學習框架：Keras、Tensorflow、pytorch、caffe,熟悉matplotlib或其他資料可視化套件,軟體程式設計、Machine Learning、Deep Learning, 具UI開發能力尤佳,,,,,,
資料處理工程師（後端，Data engineer）,安智聯科技有限公司,https://www.104.com.tw/company/1a2x6bkzzz,3年以上,熟悉Docker 並具備使用 Docker Compose 管理 Docker containers 經驗，熟悉K8S 並具備K8S建置能力尤佳,熟悉Python & Java/Scala開發經驗, 熟悉Linux系統，並擅長使用shell script or Python管理系統, 具備Spark建置及開發分散式運算應用經驗, 具備Spring-boot開發經驗, 具備Gitlab pipeline整合K8S進行CI/CD經驗者尤佳, 具備NoSQL Database使用經驗，熟悉CockroachDB尤佳, 有網路相關設備暨網路管理經驗尤佳, 認真負責，配合度高，並具有良好的團隊合作精神, 具UI開發能力者尤佳,,,,,,
